処理時間	平方根和の差	世代交代数	個体集団内の個体の数	エリート保存戦略で残す個体の数	トーナメント選択で無作為抽出する個体の数	突然変異確率	フロイド問題におけるN	選択方式	交叉方式
2.825237	0.000087	1000	1000	10	1	0.010000	64	トーナメント選択	2点交叉
2.776603	0.000004	1000	1000	10	1	0.010000	64	トーナメント選択	一様交叉
2.649600	0.000025	1000	1000	10	1	0.010000	64	トーナメント選択	1点交叉
3.798152	0.000081	1000	1000	10	1	0.010000	64	ランキング選択	2点交叉
3.818037	0.000107	1000	1000	10	1	0.010000	64	ランキング選択	一様交叉
3.856119	0.000031	1000	1000	10	1	0.010000	64	ランキング選択	1点交叉
2.794652	0.000031	1000	1000	1	5	0.100000	64	トーナメント選択	2点交叉
2.845248	0.000084	1000	1000	1	5	0.100000	64	トーナメント選択	一様交叉
2.872455	0.000006	1000	1000	1	5	0.100000	64	トーナメント選択	1点交叉
3.899796	0.000102	1000	1000	1	5	0.100000	64	ランキング選択	2点交叉
3.804770	0.000028	1000	1000	1	5	0.100000	64	ランキング選択	一様交叉
4.140703	0.000001	1000	1000	1	5	0.100000	64	ランキング選択	1点交叉
2.852491	0.000052	1000	1000	1	5	0.010000	64	トーナメント選択	2点交叉
2.874812	0.000023	1000	1000	1	5	0.010000	64	トーナメント選択	一様交叉
2.864289	0.000048	1000	1000	1	5	0.010000	64	トーナメント選択	1点交叉
3.979431	0.000003	1000	1000	1	5	0.010000	64	ランキング選択	2点交叉
3.916441	0.000246	1000	1000	1	5	0.010000	64	ランキング選択	一様交叉
3.866713	0.000086	1000	1000	1	5	0.010000	64	ランキング選択	1点交叉
2.873404	0.000043	1000	1000	1	10	0.100000	64	トーナメント選択	2点交叉
3.065830	0.000063	1000	1000	1	10	0.100000	64	トーナメント選択	一様交叉
2.996892	0.000001	1000	1000	1	10	0.100000	64	トーナメント選択	1点交叉
3.774524	0.000059	1000	1000	1	10	0.100000	64	ランキング選択	2点交叉
3.885849	0.000008	1000	1000	1	10	0.100000	64	ランキング選択	一様交叉
3.974915	0.000023	1000	1000	1	10	0.100000	64	ランキング選択	1点交叉
3.049574	0.000022	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.998625	0.000029	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
3.021541	0.000077	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
4.037318	0.000012	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
4.114040	0.000045	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
4.280968	0.000012	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.938916	0.000172	1000	1000	1	1	0.100000	64	トーナメント選択	2点交叉
2.760360	0.000099	1000	1000	1	1	0.100000	64	トーナメント選択	一様交叉
2.777532	0.000040	1000	1000	1	1	0.100000	64	トーナメント選択	1点交叉
4.030358	0.000084	1000	1000	1	1	0.100000	64	ランキング選択	2点交叉
3.822249	0.000015	1000	1000	1	1	0.100000	64	ランキング選択	一様交叉
4.062115	0.000128	1000	1000	1	1	0.100000	64	ランキング選択	1点交叉
2.949656	0.000017	1000	1000	1	1	0.010000	64	トーナメント選択	2点交叉
2.994990	0.000002	1000	1000	1	1	0.010000	64	トーナメント選択	一様交叉
2.873214	0.000176	1000	1000	1	1	0.010000	64	トーナメント選択	1点交叉
3.966386	0.000013	1000	1000	1	1	0.010000	64	ランキング選択	2点交叉
3.957912	0.000025	1000	1000	1	1	0.010000	64	ランキング選択	一様交叉
4.218547	0.000055	1000	1000	1	1	0.010000	64	ランキング選択	1点交叉
2.956189	0.000094	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.961776	0.000084	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
3.035724	0.000032	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
4.008804	0.000099	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
4.014184	0.000137	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
4.094371	0.000097	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
3.002893	0.000065	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
3.145329	0.000056	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
3.007916	0.000077	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.980422	0.000002	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.830835	0.000019	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.708798	0.000029	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.868823	0.000052	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.926372	0.000010	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
2.956069	0.000028	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.767419	0.000067	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.690306	0.000011	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.772057	0.000085	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.917006	0.000045	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.897304	0.000039	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
2.897555	0.000046	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.710828	0.000070	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.729546	0.000003	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.881530	0.000092	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.819992	0.000041	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.875487	0.000136	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
2.808784	0.000037	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.897699	0.000056	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.770346	0.000054	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.724359	0.000070	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.823835	0.000070	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.839042	0.000287	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
2.813542	0.000047	1000	1000	1	10	0.010000	64	トーナメント選択	1点交叉
3.791013	0.000076	1000	1000	1	10	0.010000	64	ランキング選択	2点交叉
3.845981	0.000035	1000	1000	1	10	0.010000	64	ランキング選択	一様交叉
3.833738	0.000061	1000	1000	1	10	0.010000	64	ランキング選択	1点交叉
2.800913	0.000056	1000	1000	1	10	0.010000	64	トーナメント選択	2点交叉
2.847243	0.000030	1000	1000	1	10	0.010000	64	トーナメント選択	一様交叉
